Species,humanPer,mousePer,reduced_pct,mouse
Enterococcus casseliflavus,0.332613643,0.185750299,-0.840482816,ERR1310082
Blautia hansenii,0.297601681,0.530715139,0.834555029,ERR1310082
[Clostridium] bolteae,0.116706541,0.265357569,1.185052276,ERR1310082
Blautia glucerasea,64.98220225,45.05604484,-0.528323963,ERR1310083
Bifidobacterium catenulatum,7.539242575,0.120096077,-5.972158662,ERR1310083
Streptococcus salivarius,3.279453813,0.14011209,-4.548802207,ERR1310083
Ruminococcus sp. DSM 100440,3.162747272,2.942353883,-0.104207505,ERR1310083
Bifidobacterium merycicum,3.081052693,0.260208167,-3.56568521,ERR1310083
Blautia schinkii,2.240765595,1.160928743,-0.948712314,ERR1310083
Clostridium paraputrificum,1.172900741,0.320256205,-1.8727825,ERR1310083
Clostridium butyricum,1.009511583,9.167333867,3.182844752,ERR1310083
Hespellia stercorisuis,0.945322985,1.78142514,0.91415262,ERR1310083
[Clostridium] symbiosum,0.706074575,2.802241793,1.988688971,ERR1310083
[Clostridium] aldenense,0.694403921,2.121697358,1.611371883,ERR1310083
Clostridioides difficile,0.665227286,2.862289832,2.105250514,ERR1310083
[Clostridium] clariflavum,0.414308222,1.200960769,1.535412668,ERR1310083
[Eubacterium] dolichum,0.402637568,0.64051241,0.669744735,ERR1310083
Eggerthella lenta,0.373460932,0.700560448,0.907552209,ERR1310083
[Ruminococcus] gnavus,0.355954951,0.200160128,-0.830540051,ERR1310083
Peptoniphilus lacrimalis,0.344284297,0.240192154,-0.519411357,ERR1310083
Enterococcus casseliflavus,0.332613643,0.14011209,-1.247265901,ERR1310083
Blautia hansenii,0.297601681,0.120096077,-1.30919365,ERR1310083
[Clostridium] bolteae,0.116706541,0.660528423,2.500735216,ERR1310083
Blautia glucerasea,64.98220225,71.84375417,0.144818102,ERR1310084
Streptococcus salivarius,3.279453813,0.146647114,-4.483034975,ERR1310084
Ruminococcus sp. DSM 100440,3.162747272,7.785628583,1.299635244,ERR1310084
Bifidobacterium merycicum,3.081052693,0.226636448,-3.764971552,ERR1310084
Blautia schinkii,2.240765595,2.053059592,-0.126216234,ERR1310084
Clostridium paraputrificum,1.172900741,0.173310225,-2.758652247,ERR1310084
Clostridium butyricum,1.009511583,0.293294227,-1.783236883,ERR1310084
Hespellia stercorisuis,0.945322985,2.199706706,1.218431938,ERR1310084
[Clostridium] symbiosum,0.706074575,1.826423144,1.371128572,ERR1310084
[Clostridium] aldenense,0.694403921,2.093054259,1.591762712,ERR1310084
Clostridioides difficile,0.665227286,1.453139581,1.127254037,ERR1310084
[Eubacterium] dolichum,0.402637568,0.533262232,0.405363365,ERR1310084
Eggerthella lenta,0.373460932,0.319957339,-0.223077773,ERR1310084
[Ruminococcus] gnavus,0.355954951,0.279962672,-0.346460188,ERR1310084
Peptoniphilus lacrimalis,0.344284297,0.133315558,-1.368755228,ERR1310084
Blautia hansenii,0.297601681,0.213304893,-0.480465616,ERR1310084
[Clostridium] bolteae,0.116706541,0.586588455,2.32946325,ERR1310084
Blautia glucerasea,64.98220225,66.42039158,0.031581591,ERR1310085
Bifidobacterium catenulatum,7.539242575,1.108237902,-2.766151978,ERR1310085
Ruminococcus sp. DSM 100440,3.162747272,12.58219431,1.992133364,ERR1310085
Bifidobacterium merycicum,3.081052693,0.347247876,-3.149385582,ERR1310085
Blautia schinkii,2.240765595,1.913557444,-0.227734527,ERR1310085
Clostridium paraputrificum,1.172900741,0.295530107,-1.98870391,ERR1310085
Clostridium butyricum,1.009511583,0.679719246,-0.570646586,ERR1310085
Hespellia stercorisuis,0.945322985,2.837089028,1.585532184,ERR1310085
Bifidobacterium bifidum,0.741086538,0.132988548,-2.478339999,ERR1310085
[Clostridium] symbiosum,0.706074575,1.388991504,0.9761453,ERR1310085
[Clostridium] aldenense,0.694403921,0.679719246,-0.030836121,ERR1310085
Clostridioides difficile,0.665227286,4.558551902,2.776656351,ERR1310085
Bifidobacterium indicum,0.583532707,0.103435537,-2.496081582,ERR1310085
[Eubacterium] dolichum,0.402637568,1.307720724,1.699500779,ERR1310085
Eggerthella lenta,0.373460932,0.391577392,0.068340141,ERR1310085
[Ruminococcus] gnavus,0.355954951,0.30291836,-0.232765647,ERR1310085
Blautia hansenii,0.297601681,0.184706317,-0.688149466,ERR1310085
[Clostridium] bolteae,0.116706541,0.118212043,0.018491591,ERR1310085
Blautia glucerasea,64.98220225,50.39554318,-0.366748486,ERR1310086
Streptococcus salivarius,3.279453813,0.323119777,-3.343314596,ERR1310086
Ruminococcus sp. DSM 100440,3.162747272,17.69359331,2.483976885,ERR1310086
Bifidobacterium merycicum,3.081052693,0.323119777,-3.253282395,ERR1310086
Blautia schinkii,2.240765595,1.225626741,-0.870472058,ERR1310086
Clostridium butyricum,1.009511583,0.768802228,-0.392973041,ERR1310086
Hespellia stercorisuis,0.945322985,4.701949861,2.314379915,ERR1310086
[Clostridium] symbiosum,0.706074575,3.108635097,2.138388804,ERR1310086
[Clostridium] aldenense,0.694403921,1.671309192,1.267131657,ERR1310086
Clostridioides difficile,0.665227286,0.746518106,0.166329906,ERR1310086
[Clostridium] clariflavum,0.414308222,0.623955432,0.590738532,ERR1310086
[Eubacterium] dolichum,0.402637568,2.228412256,2.468462463,ERR1310086
Eggerthella lenta,0.373460932,0.791086351,1.082877849,ERR1310086
[Ruminococcus] gnavus,0.355954951,0.479108635,0.428658147,ERR1310086
Peptoniphilus lacrimalis,0.344284297,0.178272981,-0.94951232,ERR1310086
Enterococcus casseliflavus,0.332613643,0.300835655,-0.144871782,ERR1310086
Blautia hansenii,0.297601681,0.590529248,0.988625842,ERR1310086
[Clostridium] bolteae,0.116706541,0.456824513,1.968754639,ERR1310086
Blautia glucerasea,64.98220225,48.76864377,-0.414090785,ERR1310087
Ruminococcus sp. DSM 100440,3.162747272,4.734651405,0.582079931,ERR1310087
Bifidobacterium merycicum,3.081052693,0.104058273,-4.887959787,ERR1310087
Blautia schinkii,2.240765595,1.335414499,-0.746704128,ERR1310087
Clostridium paraputrificum,1.172900741,0.468262227,-1.324692357,ERR1310087
Clostridium butyricum,1.009511583,3.381893861,1.744173918,ERR1310087
Hespellia stercorisuis,0.945322985,2.497398543,1.40154683,ERR1310087
[Clostridium] symbiosum,0.706074575,3.121748179,2.144461691,ERR1310087
[Clostridium] aldenense,0.694403921,2.896288588,2.060358361,ERR1310087
Clostridioides difficile,0.665227286,6.000693722,3.173210045,ERR1310087
[Eubacterium] dolichum,0.402637568,1.925078044,2.257363241,ERR1310087
Eggerthella lenta,0.373460932,0.98855359,1.404361846,ERR1310087
[Ruminococcus] gnavus,0.355954951,0.260145682,-0.45237491,ERR1310087
Peptoniphilus lacrimalis,0.344284297,0.104058273,-1.726208717,ERR1310087
Enterococcus casseliflavus,0.332613643,0.121401318,-1.45406326,ERR1310087
Blautia hansenii,0.297601681,0.173430454,-0.779025415,ERR1310087
[Clostridium] bolteae,0.116706541,0.815123136,2.804132588,ERR1310087
Blautia glucerasea,64.98220225,49.01003526,-0.406967453,ERR1310088
Bifidobacterium catenulatum,7.539242575,0.135611608,-5.796867008,ERR1310088
Ruminococcus sp. DSM 100440,3.162747272,2.671548685,-0.24350197,ERR1310088
Bifidobacterium merycicum,3.081052693,0.122050448,-4.657873866,ERR1310088
Blautia schinkii,2.240765595,1.668022783,-0.425852743,ERR1310088
Clostridium paraputrificum,1.172900741,0.189856252,-2.627101517,ERR1310088
Clostridium butyricum,1.009511583,9.41144562,3.220758877,ERR1310088
Hespellia stercorisuis,0.945322985,1.803634391,0.932027685,ERR1310088
[Clostridium] symbiosum,0.706074575,2.793599132,1.984232542,ERR1310088
[Clostridium] aldenense,0.694403921,1.166259832,0.748042243,ERR1310088
Clostridioides difficile,0.665227286,2.983455384,2.165064951,ERR1310088
[Clostridium] clariflavum,0.414308222,0.122050448,-1.763226866,ERR1310088
[Eubacterium] dolichum,0.402637568,0.97640358,1.277995797,ERR1310088
Eggerthella lenta,0.373460932,0.284784378,-0.391087325,ERR1310088
[Ruminococcus] gnavus,0.355954951,0.311906699,-0.190580129,ERR1310088
Peptoniphilus lacrimalis,0.344284297,0.284784378,-0.273730374,ERR1310088
Blautia hansenii,0.297601681,0.32546786,0.129132411,ERR1310088
[Clostridium] bolteae,0.116706541,0.311906699,1.418229113,ERR1310088
Blautia glucerasea,64.98220225,70.22264718,0.111891745,ERR1310089
Bifidobacterium catenulatum,7.539242575,0.464417429,-4.020925569,ERR1310089
Streptococcus salivarius,3.279453813,0.191230706,-4.100069454,ERR1310089
Ruminococcus sp. DSM 100440,3.162747272,8.905887174,1.493581057,ERR1310089
Bifidobacterium merycicum,3.081052693,0.478076765,-2.688109158,ERR1310089
Blautia schinkii,2.240765595,1.912307062,-0.22867754,ERR1310089
Clostridium paraputrificum,1.172900741,0.163912034,-2.839087246,ERR1310089
Clostridium butyricum,1.009511583,0.17757137,-2.507186566,ERR1310089
Hespellia stercorisuis,0.945322985,2.581614534,1.449394365,ERR1310089
Bifidobacterium bifidum,0.741086538,0.136593362,-2.439754648,ERR1310089
[Clostridium] symbiosum,0.706074575,2.431361836,1.783872138,ERR1310089
[Clostridium] aldenense,0.694403921,1.297636935,0.902039789,ERR1310089
Clostridioides difficile,0.665227286,2.253790466,1.760434144,ERR1310089
[Eubacterium] dolichum,0.402637568,1.762054364,2.129704743,ERR1310089
Eggerthella lenta,0.373460932,0.505395438,0.43645531,ERR1310089
[Ruminococcus] gnavus,0.355954951,0.273186723,-0.381807299,ERR1310089
Peptoniphilus lacrimalis,0.344284297,0.122934025,-1.485716104,ERR1310089
Blautia hansenii,0.297601681,0.259527387,-0.197495885,ERR1310089
[Clostridium] bolteae,0.116706541,0.327824068,1.49003635,ERR1310089
Blautia glucerasea,64.98220225,67.2668911,0.049851945,ERR1310090
Bifidobacterium catenulatum,7.539242575,0.790730447,-3.25316171,ERR1310090
Ruminococcus sp. DSM 100440,3.162747272,11.03108119,1.802324017,ERR1310090
Bifidobacterium merycicum,3.081052693,0.743756361,-2.050521349,ERR1310090
Blautia schinkii,2.240765595,1.824160338,-0.296759194,ERR1310090
Clostridium paraputrificum,1.172900741,0.133093244,-3.139571688,ERR1310090
Clostridium butyricum,1.009511583,0.164409301,-2.618293642,ERR1310090
Hespellia stercorisuis,0.945322985,3.358647146,1.829000997,ERR1310090
Bifidobacterium bifidum,0.741086538,0.172238315,-2.105235906,ERR1310090
[Clostridium] symbiosum,0.706074575,2.309559226,1.709725069,ERR1310090
[Clostridium] aldenense,0.694403921,0.947310734,0.448062636,ERR1310090
Clostridioides difficile,0.665227286,1.824160338,1.455313293,ERR1310090
[Eubacterium] dolichum,0.402637568,1.847647381,2.198135755,ERR1310090
Eggerthella lenta,0.373460932,0.367963673,-0.021393986,ERR1310090
[Ruminococcus] gnavus,0.355954951,0.320989587,-0.149168171,ERR1310090
Blautia hansenii,0.297601681,0.375792688,0.336554321,ERR1310090
[Clostridium] bolteae,0.116706541,0.250528458,1.102089068,ERR1310090
Blautia glucerasea,64.98220225,51.43529412,-0.337285983,ERR1310091
Streptococcus salivarius,3.279453813,0.250980392,-3.707808994,ERR1310091
Ruminococcus sp. DSM 100440,3.162747272,15.23137255,2.267795771,ERR1310091
Bifidobacterium merycicum,3.081052693,0.298039216,-3.369849279,ERR1310091
Blautia schinkii,2.240765595,1.615686275,-0.471844647,ERR1310091
Clostridium butyricum,1.009511583,0.847058824,-0.253123399,ERR1310091
Hespellia stercorisuis,0.945322985,4.047058824,2.097994579,ERR1310091
Streptococcus vestibularis,0.793604482,0.109803922,-2.853490593,ERR1310091
[Clostridium] symbiosum,0.706074575,2.996078431,2.085182917,ERR1310091
[Clostridium] aldenense,0.694403921,1.521568627,1.131712405,ERR1310091
Clostridioides difficile,0.665227286,0.533333333,-0.318809846,ERR1310091
[Clostridium] clariflavum,0.414308222,1.317647059,1.66918763,ERR1310091
[Eubacterium] dolichum,0.402637568,1.615686275,2.004593397,ERR1310091
Eggerthella lenta,0.373460932,0.517647059,0.471011446,ERR1310091
[Ruminococcus] gnavus,0.355954951,0.439215686,0.303234911,ERR1310091
Peptoniphilus lacrimalis,0.344284297,0.360784314,0.067536233,ERR1310091
Enterococcus casseliflavus,0.332613643,0.156862745,-1.084344593,ERR1310091
Blautia hansenii,0.297601681,0.423529412,0.509079487,ERR1310091
[Clostridium] bolteae,0.116706541,0.439215686,1.912044154,ERR1310091
Blautia glucerasea,64.98220225,53.12610385,-0.290623725,ERR1310092
Streptococcus salivarius,3.279453813,0.158954433,-4.3667704,ERR1310092
Ruminococcus sp. DSM 100440,3.162747272,4.185800071,0.404325127,ERR1310092
Bifidobacterium merycicum,3.081052693,0.176616037,-4.124735105,ERR1310092
Blautia schinkii,2.240765595,1.677852349,-0.417375973,ERR1310092
Clostridium paraputrificum,1.172900741,0.67114094,-0.805393258,ERR1310092
Clostridium butyricum,1.009511583,4.609678559,2.191008688,ERR1310092
Hespellia stercorisuis,0.945322985,2.101730837,1.15269868,ERR1310092
[Clostridium] symbiosum,0.706074575,2.949487813,2.062571974,ERR1310092
[Clostridium] aldenense,0.694403921,1.218650653,0.811437613,ERR1310092
Clostridioides difficile,0.665227286,4.309431296,2.695578243,ERR1310092
[Clostridium] clariflavum,0.414308222,0.123631226,-1.744661278,ERR1310092
[Eubacterium] dolichum,0.402637568,0.741787354,0.881523885,ERR1310092
Eggerthella lenta,0.373460932,1.183327446,1.66382011,ERR1310092
[Ruminococcus] gnavus,0.355954951,0.247262451,-0.525651496,ERR1310092
Peptoniphilus lacrimalis,0.344284297,0.105969622,-1.699949629,ERR1310092
Enterococcus casseliflavus,0.332613643,0.229600848,-0.534719377,ERR1310092
Blautia hansenii,0.297601681,0.229600848,-0.374254705,ERR1310092
[Clostridium] bolteae,0.116706541,0.33557047,1.523730338,ERR1310092
Blautia glucerasea,64.98220225,47.33634312,-0.45709638,ERR1310093
Streptococcus salivarius,3.279453813,0.146726862,-4.482250632,ERR1310093
Ruminococcus sp. DSM 100440,3.162747272,2.031602709,-0.638559975,ERR1310093
Blautia schinkii,2.240765595,1.331828442,-0.750583482,ERR1310093
Clostridium butyricum,1.009511583,21.0496614,4.382067657,ERR1310093
Hespellia stercorisuis,0.945322985,1.693002257,0.840704657,ERR1310093
[Clostridium] symbiosum,0.706074575,2.392776524,1.760793187,ERR1310093
[Clostridium] aldenense,0.694403921,0.959367946,0.466309143,ERR1310093
Clostridioides difficile,0.665227286,4.108352144,2.626640596,ERR1310093
[Eubacterium] dolichum,0.402637568,1.320541761,1.713576233,ERR1310093
Eggerthella lenta,0.373460932,0.361173815,-0.04826403,ERR1310093
[Ruminococcus] gnavus,0.355954951,0.474040632,0.413316055,ERR1310093
Peptoniphilus lacrimalis,0.344284297,0.338600451,-0.024016484,ERR1310093
Blautia hansenii,0.297601681,0.282167043,-0.076833182,ERR1310093
[Clostridium] bolteae,0.116706541,0.316027088,1.437162797,ERR1310093
Blautia glucerasea,64.98220225,64.38289602,-0.013367165,ERR1310094
Ruminococcus sp. DSM 100440,3.162747272,5.8632977,0.890534031,ERR1310094
Bifidobacterium merycicum,3.081052693,0.550696469,-2.484094093,ERR1310094
Blautia schinkii,2.240765595,1.862649822,-0.266635264,ERR1310094
Clostridium paraputrificum,1.172900741,0.421120829,-1.477774787,ERR1310094
Clostridium butyricum,1.009511583,3.709102689,1.877412746,ERR1310094
Hespellia stercorisuis,0.945322985,2.380952381,1.332659528,ERR1310094
[Clostridium] symbiosum,0.706074575,3.19080013,2.176025768,ERR1310094
[Clostridium] aldenense,0.694403921,2.688694525,1.953058854,ERR1310094
Clostridioides difficile,0.665227286,2.96404276,2.15564701,ERR1310094
[Eubacterium] dolichum,0.402637568,1.587301587,1.979022573,ERR1310094
Eggerthella lenta,0.373460932,0.25915128,-0.527162814,ERR1310094
[Ruminococcus] gnavus,0.355954951,0.25915128,-0.457900152,ERR1310094
Peptoniphilus lacrimalis,0.344284297,0.113378685,-1.602450942,ERR1310094
Blautia hansenii,0.297601681,0.275348235,-0.112125315,ERR1310094
[Clostridium] bolteae,0.116706541,0.518302559,2.150909091,ERR1310094
Blautia glucerasea,64.98220225,59.47281713,-0.127814222,ERR1310095
Bifidobacterium catenulatum,7.539242575,1.933003844,-1.963575085,ERR1310095
Ruminococcus sp. DSM 100440,3.162747272,14.19000549,2.165624965,ERR1310095
Bifidobacterium merycicum,3.081052693,0.966501922,-1.672578849,ERR1310095
Blautia schinkii,2.240765595,1.94398682,-0.204973299,ERR1310095
Clostridium paraputrificum,1.172900741,0.27457441,-2.09481185,ERR1310095
Clostridium butyricum,1.009511583,0.142778693,-2.821804858,ERR1310095
Hespellia stercorisuis,0.945322985,3.92092257,2.052313912,ERR1310095
Bifidobacterium bifidum,0.741086538,0.318506315,-1.21832004,ERR1310095
[Clostridium] symbiosum,0.706074575,2.657880286,1.912383651,ERR1310095
[Clostridium] aldenense,0.694403921,0.571114772,-0.281994394,ERR1310095
Clostridioides difficile,0.665227286,1.669412411,1.327421151,ERR1310095
Bifidobacterium indicum,0.583532707,0.12081274,-2.27204092,ERR1310095
Bifidobacterium scardovii,0.484332147,0.131795717,-1.877693279,ERR1310095
Bifidobacterium dentium,0.449320184,0.230642504,-0.962085467,ERR1310095
[Eubacterium] dolichum,0.402637568,2.570016474,2.674223914,ERR1310095
Eggerthella lenta,0.373460932,0.373421197,-0.000153507,ERR1310095
[Ruminococcus] gnavus,0.355954951,0.373421197,0.069109155,ERR1310095
Blautia hansenii,0.297601681,0.307523339,0.047313231,ERR1310095
[Clostridium] bolteae,0.116706541,0.186710599,0.677918398,ERR1310095
Blautia glucerasea,64.98220225,47.1111953,-0.463974701,ERR1310096
Streptococcus salivarius,3.279453813,0.492517522,-2.7352086,ERR1310096
Ruminococcus sp. DSM 100440,3.162747272,11.78253457,1.897399731,ERR1310096
Blautia schinkii,2.240765595,1.591210457,-0.493867075,ERR1310096
Clostridium butyricum,1.009511583,4.622087517,2.194887112,ERR1310096
Hespellia stercorisuis,0.945322985,4.678916461,2.307295231,ERR1310096
[Clostridium] symbiosum,0.706074575,3.902254215,2.466415292,ERR1310096
[Clostridium] aldenense,0.694403921,2.197385869,1.661941234,ERR1310096
Clostridioides difficile,0.665227286,1.344951695,1.015635108,ERR1310096
[Clostridium] clariflavum,0.414308222,1.231293806,1.571398696,ERR1310096
[Eubacterium] dolichum,0.402637568,2.178442887,2.435743597,ERR1310096
Eggerthella lenta,0.373460932,0.625118394,0.743172122,ERR1310096
[Ruminococcus] gnavus,0.355954951,0.644061375,0.855503506,ERR1310096
Peptoniphilus lacrimalis,0.344284297,0.322030688,-0.096402206,ERR1310096
Enterococcus casseliflavus,0.332613643,0.246258761,-0.433672294,ERR1310096
Blautia hansenii,0.297601681,0.625118394,1.07074678,ERR1310096
[Clostridium] bolteae,0.116706541,0.58723243,2.331046218,ERR1310096
Blautia glucerasea,64.98220225,48.88278617,-0.410718121,ERR1310097
Ruminococcus sp. DSM 100440,3.162747272,3.058294845,-0.048450777,ERR1310097
Blautia schinkii,2.240765595,1.335663463,-0.746435189,ERR1310097
Clostridium paraputrificum,1.172900741,0.199725378,-2.553991366,ERR1310097
Clostridium butyricum,1.009511583,7.739358382,2.938556503,ERR1310097
Hespellia stercorisuis,0.945322985,2.072150793,1.132249754,ERR1310097
[Clostridium] symbiosum,0.706074575,3.245537386,2.200564901,ERR1310097
[Clostridium] aldenense,0.694403921,1.47297466,1.084885611,ERR1310097
Clostridioides difficile,0.665227286,2.958432156,2.15291356,ERR1310097
[Clostridium] clariflavum,0.414308222,0.124828361,-1.730758699,ERR1310097
[Eubacterium] dolichum,0.402637568,1.210835102,1.588448711,ERR1310097
Eggerthella lenta,0.373460932,0.337036575,-0.148052172,ERR1310097
[Ruminococcus] gnavus,0.355954951,0.28710523,-0.310115056,ERR1310097
Peptoniphilus lacrimalis,0.344284297,0.374485083,0.121307872,ERR1310097
Blautia hansenii,0.297601681,0.162276869,-0.874925298,ERR1310097
[Clostridium] bolteae,0.116706541,0.461864936,1.984585596,ERR1310097
Blautia glucerasea,64.98220225,46.9270298,-0.469625488,ERR1310098
Ruminococcus sp. DSM 100440,3.162747272,6.289825283,0.991841665,ERR1310098
Bifidobacterium merycicum,3.081052693,0.2672148,-3.527351538,ERR1310098
Blautia schinkii,2.240765595,1.623843782,-0.464578889,ERR1310098
Clostridium paraputrificum,1.172900741,0.575539568,-1.027093906,ERR1310098
Clostridium butyricum,1.009511583,5.364850976,2.409880632,ERR1310098
Hespellia stercorisuis,0.945322985,2.95991778,1.646677862,ERR1310098
Streptococcus vestibularis,0.793604482,0.123329908,-2.685897477,ERR1310098
[Clostridium] symbiosum,0.706074575,2.857142857,2.016680699,ERR1310098
[Clostridium] aldenense,0.694403921,1.870503597,1.42957974,ERR1310098
Clostridioides difficile,0.665227286,4.275436793,2.684152567,ERR1310098
[Clostridium] clariflavum,0.414308222,0.123329908,-1.748181755,ERR1310098
[Eubacterium] dolichum,0.402637568,0.966084275,1.262667258,ERR1310098
Eggerthella lenta,0.373460932,0.822199383,1.138530958,ERR1310098
[Ruminococcus] gnavus,0.355954951,0.164439877,-1.114134474,ERR1310098
Peptoniphilus lacrimalis,0.344284297,0.205549846,-0.744112091,ERR1310098
Enterococcus casseliflavus,0.332613643,0.164439877,-1.016287151,ERR1310098
Blautia hansenii,0.297601681,0.123329908,-1.270859978,ERR1310098
[Clostridium] bolteae,0.116706541,0.575539568,2.302029691,ERR1310098
Blautia glucerasea,64.98220225,67.06046945,0.045417945,ERR1310099
Bifidobacterium catenulatum,7.539242575,0.155448469,-5.59991128,ERR1310099
Streptococcus salivarius,3.279453813,0.108813928,-4.913520418,ERR1310099
Ruminococcus sp. DSM 100440,3.162747272,7.290533188,1.204846051,ERR1310099
Bifidobacterium merycicum,3.081052693,0.668428416,-2.204578385,ERR1310099
Blautia schinkii,2.240765595,2.067464635,-0.116129085,ERR1310099
Clostridium paraputrificum,1.172900741,0.202083009,-2.537060993,ERR1310099
Clostridium butyricum,1.009511583,0.792787191,-0.348651906,ERR1310099
Hespellia stercorisuis,0.945322985,3.559769936,1.912904765,ERR1310099
Bifidobacterium bifidum,0.741086538,0.186538163,-1.990171206,ERR1310099
[Clostridium] symbiosum,0.706074575,3.668583864,2.377330792,ERR1310099
[Clostridium] aldenense,0.694403921,2.098554329,1.595548814,ERR1310099
Clostridioides difficile,0.665227286,2.300637339,1.790114331,ERR1310099
[Eubacterium] dolichum,0.402637568,0.683973263,0.764458142,ERR1310099
Eggerthella lenta,0.373460932,0.264262397,-0.498986179,ERR1310099
[Ruminococcus] gnavus,0.355954951,0.279807244,-0.347261356,ERR1310099
Blautia hansenii,0.297601681,0.341986631,0.200557257,ERR1310099
[Clostridium] bolteae,0.116706541,0.466345406,1.998513481,ERR1310099
Blautia glucerasea,64.98220225,60.07598544,-0.113256229,ERR1310100
Bifidobacterium catenulatum,7.539242575,1.337660282,-2.494707822,ERR1310100
Streptococcus salivarius,3.279453813,0.134557543,-4.607160383,ERR1310100
Ruminococcus sp. DSM 100440,3.162747272,12.28431217,1.957566897,ERR1310100
Bifidobacterium merycicum,3.081052693,0.886496755,-1.797236101,ERR1310100
Blautia schinkii,2.240765595,1.733417762,-0.370372345,ERR1310100
Clostridium paraputrificum,1.172900741,0.340351433,-1.78498384,ERR1310100
Clostridium butyricum,1.009511583,0.253284787,-1.994825131,ERR1310100
Hespellia stercorisuis,0.945322985,3.743865759,1.985649467,ERR1310100
Bifidobacterium bifidum,0.741086538,0.174133291,-2.089449972,ERR1310100
[Clostridium] symbiosum,0.706074575,2.651575115,1.908957144,ERR1310100
[Clostridium] aldenense,0.694403921,1.092290644,0.65350979,ERR1310100
Clostridioides difficile,0.665227286,1.9629571,1.561109393,ERR1310100
Bifidobacterium indicum,0.583532707,0.134557543,-2.116590252,ERR1310100
Bifidobacterium scardovii,0.484332147,0.142472693,-1.765311334,ERR1310100
[Eubacterium] dolichum,0.402637568,2.414120627,2.583944072,ERR1310100
Eggerthella lenta,0.373460932,0.451163527,0.27269311,ERR1310100
[Ruminococcus] gnavus,0.355954951,0.38784233,0.123775603,ERR1310100
Blautia hansenii,0.297601681,0.316605984,0.089305849,ERR1310100
[Clostridium] bolteae,0.116706541,0.277030236,1.247158018,ERR1310100
Blautia luti,11.15482527,5.158789325,-1.11256348,ERR1310101
Ruminococcus sp. DSM 100440,4.165702384,2.23646936,-0.897336777,ERR1310101
Blautia obeum,4.119416802,0.984046519,-2.065641683,ERR1310101
[Eubacterium] sulci,2.059708401,0.134188162,-3.940110801,ERR1310101
Collinsella aerofaciens,1.990280028,0.10436857,-4.253212204,ERR1310101
[Clostridium] leptum,1.619995371,0.417474281,-1.956230466,ERR1310101
[Clostridium] saccharolyticum,1.36542467,0.670940808,-1.025092324,ERR1310101
Hespellia stercorisuis,0.995140014,0.879677948,-0.177924076,ERR1310101
Roseburia faecis,0.971997223,0.164007753,-2.567188175,ERR1310101
[Eubacterium] rectale,0.90256885,1.744446101,0.95066013,ERR1310101
Bacteroides uniformis,0.856283268,11.22707619,3.712750318,ERR1310101
Bifidobacterium scardovii,0.578569776,0.10436857,-2.470803639,ERR1310101
Anaerostipes caccae,0.393427447,0.253466528,-0.634302371,ERR1310101
Eggerthella lenta,0.370284656,0.149097957,-1.312374276,ERR1310101
Parabacteroides johnsonii,0.370284656,12.13657373,5.034582613,ERR1310101
[Clostridium] indolis,0.347141865,0.924407336,1.413003344,ERR1310101
