Genus,humanPer,mousePer,reduced_pct,mouse
Bifidobacterium,13.50011663,1.187713311,-3.506713325,ERR1310089
Streptococcus,4.350361558,0.327645051,-3.730929662,ERR1310089
Ruminococcus,3.160718451,8.928327645,1.498137442,ERR1310089
Clostridium,2.233496618,0.4778157,-2.224777907,ERR1310089
Lachnoclostridium,1.522043387,4.054607509,1.413552782,ERR1310089
Hespellia,0.944716585,2.580204778,1.449532079,ERR1310089
Clostridioides,0.66480056,2.252559727,1.760571858,ERR1310089
[Eubacterium] dolichum[genus],0.402379286,1.76109215,2.129842456,ERR1310089
Eggerthella,0.373221367,0.505119454,0.436593023,ERR1310089
Peptoniphilus,0.344063448,0.122866894,-1.48557839,ERR1310089
Enterococcus,0.338231864,0.109215017,-1.630841338,ERR1310089
Blautia,67.90879403,69.9068639,0.041835703,ERR1310090
Bifidobacterium,13.50011663,1.878375205,-2.845414696,ERR1310090
Streptococcus,4.350361558,0.195664084,-4.474684444,ERR1310090
Ruminococcus,3.160718451,11.05110746,1.805866518,ERR1310090
Clostridium,2.233496618,0.461767238,-2.274066346,ERR1310090
Lachnoclostridium,1.522043387,3.52195351,1.210366381,ERR1310090
Hespellia,0.944716585,3.35759568,1.829475021,ERR1310090
Clostridioides,0.66480056,1.823589262,1.455787317,ERR1310090
[Eubacterium] dolichum[genus],0.402379286,1.847068952,2.198609779,ERR1310090
Eggerthella,0.373221367,0.367848478,-0.020919962,ERR1310090
Blautia,67.90879403,53.97994359,-0.331174943,ERR1310091
Bifidobacterium,13.50011663,0.360388593,-5.227274714,ERR1310091
Streptococcus,4.350361558,0.376057662,-3.532109511,ERR1310091
Ruminococcus,3.160718451,15.21466625,2.267138253,ERR1310091
Clostridium,2.233496618,0.987151363,-1.17796085,ERR1310091
Lachnoclostridium,1.522043387,4.951425885,1.70183456,ERR1310091
Hespellia,0.944716585,4.042619868,2.097337061,ERR1310091
Clostridioides,0.66480056,0.532748355,-0.319467364,ERR1310091
Ruminiclostridium,0.507347796,1.645252272,1.69726183,ERR1310091
[Eubacterium] dolichum[genus],0.402379286,1.613914134,2.003935879,ERR1310091
Eggerthella,0.373221367,0.517079285,0.470353928,ERR1310091
Peptoniphilus,0.344063448,0.360388593,0.066878715,ERR1310091
Enterococcus,0.338231864,0.172359762,-0.972589568,ERR1310091
Blautia,67.90879403,55.3360381,-0.295379057,ERR1310092
Bifidobacterium,13.50011663,0.352795908,-5.257994235,ERR1310092
Streptococcus,4.350361558,0.194037749,-4.486726054,ERR1310092
Ruminococcus,3.160718451,4.180631505,0.403468356,ERR1310092
Clostridium,2.233496618,5.644734521,1.337601661,ERR1310092
Lachnoclostridium,1.522043387,4.515787617,1.568968151,ERR1310092
Hespellia,0.944716585,2.09913565,1.151841908,ERR1310092
Clostridioides,0.66480056,4.304110072,2.694721471,ERR1310092
Ruminiclostridium,0.507347796,0.141118363,-1.846069348,ERR1310092
[Eubacterium] dolichum[genus],0.402379286,0.740871406,0.880667114,ERR1310092
Eggerthella,0.373221367,1.18186629,1.662963338,ERR1310092
Peptoniphilus,0.344063448,0.105838772,-1.700806401,ERR1310092
Enterococcus,0.338231864,0.299876521,-0.173644006,ERR1310092
Blautia,67.90879403,49.44162437,-0.45787227,ERR1310093
Bifidobacterium,13.50011663,0.13536379,-6.639986191,ERR1310093
Streptococcus,4.350361558,0.157924422,-4.783829112,ERR1310093
Ruminococcus,3.160718451,2.030456853,-0.638448159,ERR1310093
Clostridium,2.233496618,21.55668359,3.270759267,ERR1310093
Lachnoclostridium,1.522043387,3.666102651,1.268237697,ERR1310093
Hespellia,0.944716585,1.692047377,0.840816474,ERR1310093
Clostridioides,0.66480056,4.106034969,2.626752412,ERR1310093
[Eubacterium] dolichum[genus],0.402379286,1.319796954,1.713688049,ERR1310093
Eggerthella,0.373221367,0.360970107,-0.048152214,ERR1310093
Peptoniphilus,0.344063448,0.338409475,-0.023904668,ERR1310093
Blautia,67.90879403,66.75828618,-0.024651494,ERR1310094
Bifidobacterium,13.50011663,0.743734842,-4.1820397,ERR1310094
Streptococcus,4.350361558,0.226354082,-4.264482076,ERR1310094
Ruminococcus,3.160718451,5.869037995,0.892871519,ERR1310094
Clostridium,2.233496618,4.300727567,0.945276676,ERR1310094
Lachnoclostridium,1.522043387,6.402586904,2.072645445,ERR1310094
Hespellia,0.944716585,2.376717866,1.331017164,ERR1310094
Clostridioides,0.66480056,2.958771221,2.154004646,ERR1310094
[Eubacterium] dolichum[genus],0.402379286,1.584478577,1.977380209,ERR1310094
Eggerthella,0.373221367,0.25869038,-0.528805178,ERR1310094
Peptoniphilus,0.344063448,0.113177041,-1.604093305,ERR1310094
Blautia,67.90879403,62.15712091,-0.127678732,ERR1310095
Bifidobacterium,13.50011663,3.818301514,-1.821968936,ERR1310095
Streptococcus,4.350361558,0.153609831,-4.823792852,ERR1310095
Ruminococcus,3.160718451,14.18696511,2.166241565,ERR1310095
Clostridium,2.233496618,0.526662278,-2.084354035,ERR1310095
Lachnoclostridium,1.522043387,3.423304806,1.169380269,ERR1310095
Hespellia,0.944716585,3.917050691,2.051814308,ERR1310095
Clostridioides,0.66480056,1.66776388,1.326921546,ERR1310095
Ruminiclostridium,0.507347796,0.153609831,-1.723704527,ERR1310095
[Eubacterium] dolichum[genus],0.402379286,2.567478604,2.673724309,ERR1310095
Eggerthella,0.373221367,0.373052447,-0.000653112,ERR1310095
Blautia,67.90879403,50.03786445,-0.440578194,ERR1310096
Streptococcus,4.350361558,0.549034457,-2.986166709,ERR1310096
Ruminococcus,3.160718451,11.77584248,1.897505844,ERR1310096
Clostridium,2.233496618,4.884513442,1.128910789,ERR1310096
Lachnoclostridium,1.522043387,6.683074593,2.134502492,ERR1310096
Hespellia,0.944716585,4.676258993,2.307401344,ERR1310096
Clostridioides,0.66480056,1.344187808,1.015741221,ERR1310096
Ruminiclostridium,0.507347796,1.609238925,1.665331556,ERR1310096
[Eubacterium] dolichum[genus],0.402379286,2.177205604,2.43584971,ERR1310096
Eggerthella,0.373221367,0.624763347,0.743278235,ERR1310096
Peptoniphilus,0.344063448,0.321847785,-0.096296092,ERR1310096
Enterococcus,0.338231864,0.246118894,-0.458657161,ERR1310096
Blautia,67.90879403,50.75483468,-0.420053158,ERR1310097
Bifidobacterium,13.50011663,0.174672489,-6.272175659,ERR1310097
Ruminococcus,3.160718451,3.056768559,-0.048245206,ERR1310097
Clostridium,2.233496618,8.259513412,1.886752722,ERR1310097
Lachnoclostridium,1.522043387,5.177791641,1.766327426,ERR1310097
Hespellia,0.944716585,2.071116656,1.132455325,ERR1310097
Clostridioides,0.66480056,2.956955708,2.153119132,ERR1310097
Ruminiclostridium,0.507347796,0.187149095,-1.438787003,ERR1310097
[Eubacterium] dolichum[genus],0.402379286,1.210230817,1.588654282,ERR1310097
Eggerthella,0.373221367,0.336868372,-0.147846601,ERR1310097
Peptoniphilus,0.344063448,0.374298191,0.121513443,ERR1310097
Blautia,67.90879403,48.77898625,-0.477338637,ERR1310098
Bifidobacterium,13.50011663,0.348861071,-5.274175442,ERR1310098
Streptococcus,4.350361558,0.205212395,-4.405945531,ERR1310098
Ruminococcus,3.160718451,6.279499282,0.990396996,ERR1310098
Clostridium,2.233496618,6.135850605,1.457959287,ERR1310098
Lachnoclostridium,1.522043387,5.294479787,1.798479453,ERR1310098
Hespellia,0.944716585,2.955058486,1.645233193,ERR1310098
Clostridioides,0.66480056,4.268417812,2.682707899,ERR1310098
Ruminiclostridium,0.507347796,0.164169916,-1.627785301,ERR1310098
[Eubacterium] dolichum[genus],0.402379286,0.964498256,1.26122259,ERR1310098
Eggerthella,0.373221367,0.820849579,1.13708629,ERR1310098
Peptoniphilus,0.344063448,0.205212395,-0.74555676,ERR1310098
Enterococcus,0.338231864,0.184691155,-0.872897799,ERR1310098
Blautia,67.90879403,69.7840609,0.039299142,ERR1310099
Bifidobacterium,13.50011663,1.102998291,-3.61346941,ERR1310099
Streptococcus,4.350361558,0.264098182,-4.041989031,ERR1310099
Ruminococcus,3.160718451,7.286002796,1.204875019,ERR1310099
Clostridium,2.233496618,1.102998291,-1.017873514,ERR1310099
Lachnoclostridium,1.522043387,6.229610067,2.033132378,ERR1310099
Hespellia,0.944716585,3.557557869,1.912933734,ERR1310099
Clostridioides,0.66480056,2.299207705,1.7901433,ERR1310099
Ruminiclostridium,0.507347796,0.124281498,-2.029363548,ERR1310099
[Eubacterium] dolichum[genus],0.402379286,0.683548237,0.76448711,ERR1310099
Eggerthella,0.373221367,0.264098182,-0.49895721,ERR1310099
Blautia,67.90879403,62.59590287,-0.117530182,ERR1310100
Bifidobacterium,13.50011663,2.926520604,-2.20571353,ERR1310100
Streptococcus,4.350361558,0.213556909,-4.348442831,ERR1310100
Ruminococcus,3.160718451,12.29138654,1.959323235,ERR1310100
Clostridium,2.233496618,0.775132484,-1.52678925,ERR1310100
Lachnoclostridium,1.522043387,4.02594321,1.403317337,ERR1310100
Hespellia,0.944716585,3.741200664,1.985547858,ERR1310100
Clostridioides,0.66480056,1.961559756,1.561007784,ERR1310100
Ruminiclostridium,0.507347796,0.181918848,-1.479680052,ERR1310100
[Eubacterium] dolichum[genus],0.402379286,2.41240212,2.583842463,ERR1310100
Eggerthella,0.373221367,0.450842363,0.272591502,ERR1310100
Bifidobacterium,35.50323176,0.178651184,-7.634661073,ERR1310101
Blautia,16.64358264,21.36370403,0.360195786,ERR1310101
Ruminococcus,9.072022161,2.233139795,-2.022350598,ERR1310101
Ruminiclostridium,4.224376731,0.446627959,-3.241593029,ERR1310101
Roseburia,3.78578024,0.163763585,-4.530904172,ERR1310101
Lachnoclostridium,2.16989843,5.850826262,1.431012865,ERR1310101
[Eubacterium] sulci[genus],2.054478301,0.133988388,-3.938592215,ERR1310101
Collinsella,2.031394275,0.669941938,-1.600362308,ERR1310101
Eubacterium,1.500461681,0.669941938,-1.163298503,ERR1310101
Bacteroides,1.246537396,40.79202025,5.03228889,ERR1310101
Eggerthella,1.061865189,0.163763585,-2.696914123,ERR1310101
Hespellia,0.992613112,0.878368319,-0.176405491,ERR1310101
[Eubacterium] rectale[genus],0.900277008,1.74184904,0.952178715,ERR1310101
Erysipelatoclostridium,0.530932595,1.042131904,0.972937275,ERR1310101
Anaerostipes,0.39242844,0.253089177,-0.632783786,ERR1310101
Parabacteroides,0.369344414,12.38648206,5.067655932,ERR1310101
Peptoniphilus,0.115420129,0.312639571,1.437605542,ERR1310101
Blautia,16.64358264,13.17814165,-0.336819078,ERR1310102
Ruminococcus,9.072022161,1.400670744,-2.695306304,ERR1310102
Ruminiclostridium,4.224376731,0.473466167,-3.157405259,ERR1310102
Lachnoclostridium,2.16989843,14.79581772,2.769490013,ERR1310102
Collinsella,2.031394275,0.522785559,-1.958179085,ERR1310102
Eubacterium,1.500461681,0.729927007,-1.039582368,ERR1310102
Bacteroides,1.246537396,48.84592622,5.292240176,ERR1310102
Eggerthella,1.061865189,1.380942987,0.37905314,ERR1310102
Hespellia,0.992613112,1.647267706,0.730771617,ERR1310102
[Eubacterium] rectale[genus],0.900277008,0.217005326,-2.052638521,ERR1310102
Butyricicoccus,0.530932595,0.207141448,-1.357912454,ERR1310102
Erysipelatoclostridium,0.530932595,1.311895837,1.305052558,ERR1310102
Clostridium,0.461680517,0.394555139,-0.226667921,ERR1310102
Anaerostipes,0.39242844,2.150325508,2.454053563,ERR1310102
Parabacteroides,0.369344414,4.823436575,3.707022734,ERR1310102
Peptoniphilus,0.115420129,0.32550799,1.495798103,ERR1310102
Bifidobacterium,35.50323176,2.418815983,-3.875577433,ERR1310103
Blautia,16.64358264,9.140718963,-0.864586467,ERR1310103
Ruminococcus,9.072022161,11.81344381,0.380933525,ERR1310103
Ruminiclostridium,4.224376731,0.50781772,-3.056355857,ERR1310103
Roseburia,3.78578024,0.935453695,-2.01685252,ERR1310103
Lachnoclostridium,2.16989843,3.928905519,0.856499961,ERR1310103
Collinsella,2.031394275,0.387545102,-2.390034156,ERR1310103
Eubacterium,1.500461681,0.334090605,-2.167095155,ERR1310103
Bacteroides,1.246537396,55.01804089,5.463906699,ERR1310103
Eggerthella,1.061865189,0.454363223,-1.224682647,ERR1310103
Hespellia,0.992613112,1.069089937,0.107079808,ERR1310103
[Eubacterium] rectale[genus],0.900277008,0.173727115,-2.373546033,ERR1310103
Butyricicoccus,0.530932595,0.213817987,-1.312145488,ERR1310103
Erysipelatoclostridium,0.530932595,0.374181478,-0.504790566,ERR1310103
Anaerostipes,0.39242844,2.432179607,2.631748267,ERR1310103
Parabacteroides,0.369344414,5.251904316,3.82980197,ERR1310103
Bifidobacterium,35.50323176,2.012578616,-4.140833311,ERR1310104
Blautia,16.64358264,22.62578616,0.443001905,ERR1310104
Ruminococcus,9.072022161,1.871069182,-2.277561262,ERR1310104
Streptococcus,7.779316713,0.204402516,-5.250158586,ERR1310104
Ruminiclostridium,4.224376731,0.691823899,-2.610261742,ERR1310104
Roseburia,3.78578024,0.471698113,-3.004654932,ERR1310104
Lachnoclostridium,2.16989843,9.779874214,2.172188396,ERR1310104
Collinsella,2.031394275,1.808176101,-0.16793509,ERR1310104
Eubacterium,1.500461681,0.188679245,-2.991398835,ERR1310104
Bacteroides,1.246537396,17.81446541,3.837051121,ERR1310104
Eggerthella,1.061865189,0.235849057,-2.170664883,ERR1310104
Hespellia,0.992613112,0.817610063,-0.279818559,ERR1310104
[Eubacterium] rectale[genus],0.900277008,1.194968553,0.408531772,ERR1310104
Butyricicoccus,0.530932595,0.141509434,-1.907630477,ERR1310104
Erysipelatoclostridium,0.530932595,0.691823899,0.38187614,ERR1310104
Anaerostipes,0.39242844,0.267295597,-0.553993523,ERR1310104
Parabacteroides,0.369344414,29.26100629,6.307868817,ERR1310104
Lactococcus,0.161588181,0.283018868,0.808576557,ERR1310104
Bifidobacterium,35.50323176,0.687458082,-5.690534798,ERR1310105
Blautia,16.64358264,29.37625755,0.819684596,ERR1310105
Ruminococcus,9.072022161,3.957075788,-1.196989468,ERR1310105
Streptococcus,7.779316713,0.536552649,-3.857851796,ERR1310105
Ruminiclostridium,4.224376731,0.670690812,-2.655018758,ERR1310105
Roseburia,3.78578024,0.184439973,-4.359367401,ERR1310105
Lachnoclostridium,2.16989843,9.020791415,2.055626496,ERR1310105
[Eubacterium] sulci[genus],2.054478301,0.117370892,-4.129625524,ERR1310105
Collinsella,2.031394275,4.761904762,1.229068486,ERR1310105
Eubacterium,1.500461681,0.251509054,-2.576724232,ERR1310105
Bacteroides,1.246537396,20.28839705,4.024656815,ERR1310105
Eggerthella,1.061865189,0.720992622,-0.558544216,ERR1310105
Hespellia,0.992613112,1.224010731,0.30231279,ERR1310105
[Eubacterium] rectale[genus],0.900277008,0.720992622,-0.320384479,ERR1310105
Butyricicoccus,0.530932595,0.285043595,-0.897346129,ERR1310105
Erysipelatoclostridium,0.530932595,0.469483568,-0.177454049,ERR1310105
Clostridium,0.461680517,0.134138162,-1.78317511,ERR1310105
Anaerostipes,0.39242844,0.486250838,0.309271139,ERR1310105
Parabacteroides,0.369344414,12.6425218,5.097173699,ERR1310105
Lactococcus,0.161588181,0.855130785,2.403823405,ERR1310105
Blautia,16.64358264,27.9669981,0.748759391,ERR1310106
Ruminococcus,9.072022161,2.496297863,-1.861634075,ERR1310106
Streptococcus,7.779316713,0.169240533,-5.522496403,ERR1310106
Ruminiclostridium,4.224376731,1.036598265,-2.026881616,ERR1310106
Roseburia,3.78578024,0.105775333,-5.161515531,ERR1310106
Lachnoclostridium,2.16989843,9.244764121,2.091008996,ERR1310106
Collinsella,2.031394275,0.740427332,-1.456040223,ERR1310106
Eubacterium,1.500461681,0.655807066,-1.194063124,ERR1310106
Bacteroides,1.246537396,15.99323038,3.6814633,ERR1310106
Eggerthella,1.061865189,0.380791199,-1.479528576,ERR1310106
Hespellia,0.992613112,1.607785065,0.695771137,ERR1310106
[Eubacterium] rectale[genus],0.900277008,2.13666173,1.246917642,ERR1310106
Butyricicoccus,0.530932595,0.232705733,-1.190021959,ERR1310106
Erysipelatoclostridium,0.530932595,0.782737466,0.559999788,ERR1310106
Anaerostipes,0.39242844,0.275015866,-0.512914745,ERR1310106
Parabacteroides,0.369344414,24.81489317,6.070095676,ERR1310106
Lactococcus,0.161588181,0.1903956,0.236678458,ERR1310106
Bifidobacterium,35.50323176,2.871410737,-3.628118737,ERR1310107
Blautia,16.64358264,13.1710362,-0.337597165,ERR1310107
Ruminococcus,9.072022161,7.880774032,-0.203086829,ERR1310107
Ruminiclostridium,4.224376731,0.343320849,-3.621109124,ERR1310107
Roseburia,3.78578024,1.248439451,-1.600464815,ERR1310107
Lachnoclostridium,2.16989843,4.775280899,1.137958086,ERR1310107
Collinsella,2.031394275,0.49937578,-2.024272523,ERR1310107
Eubacterium,1.500461681,0.327715356,-2.194891295,ERR1310107
Bacteroides,1.246537396,55.97690387,5.488833623,ERR1310107
Eggerthella,1.061865189,0.702247191,-0.596549765,ERR1310107
Hespellia,0.992613112,1.029962547,0.05328846,ERR1310107
[Eubacterium] rectale[genus],0.900277008,0.140449438,-2.680318122,ERR1310107
Butyricicoccus,0.530932595,0.202871411,-1.387963143,ERR1310107
Erysipelatoclostridium,0.530932595,0.124843945,-2.088402861,ERR1310107
Anaerostipes,0.39242844,2.215980025,2.497443373,ERR1310107
Parabacteroides,0.369344414,2.215980025,2.584906215,ERR1310107
Blautia,16.64358264,9.807433945,-0.763018398,ERR1310108
Ruminococcus,9.072022161,1.504702194,-2.591946183,ERR1310108
Ruminiclostridium,4.224376731,0.232870578,-4.181138223,ERR1310108
Lachnoclostridium,2.16989843,11.45544111,2.400333594,ERR1310108
[Eubacterium] sulci[genus],2.054478301,0.161218092,-3.671686533,ERR1310108
Collinsella,2.031394275,0.501567398,-2.0179548,ERR1310108
Eubacterium,1.500461681,0.707568294,-1.084465168,ERR1310108
Bacteroides,1.246537396,55.71876399,5.482165186,ERR1310108
Eggerthella,1.061865189,0.618002687,-0.780915602,ERR1310108
Hespellia,0.992613112,1.755485893,0.822566986,ERR1310108
[Eubacterium] rectale[genus],0.900277008,0.295566502,-1.606886203,ERR1310108
Butyricicoccus,0.530932595,0.13434841,-1.982549464,ERR1310108
Erysipelatoclostridium,0.530932595,0.65382893,0.3003845,ERR1310108
Anaerostipes,0.39242844,3.28705777,3.066295308,ERR1310108
Parabacteroides,0.369344414,6.735333632,4.188710749,ERR1310108
Bifidobacterium,35.50323176,1.486238532,-4.578212772,ERR1310109
Blautia,16.64358264,23.21100917,0.479843233,ERR1310109
Ruminococcus,9.072022161,2.201834862,-2.042717894,ERR1310109
Streptococcus,7.779316713,0.293577982,-4.727827768,ERR1310109
Ruminiclostridium,4.224376731,0.880733945,-2.261960325,ERR1310109
Lachnoclostridium,2.16989843,10.93577982,2.333356682,ERR1310109
Collinsella,2.031394275,2.201834862,0.11623599,ERR1310109
Eubacterium,1.500461681,0.403669725,-1.894159181,ERR1310109
Bacteroides,1.246537396,28.44036697,4.511942011,ERR1310109
Hespellia,0.992613112,1.266055046,0.351036715,ERR1310109
[Eubacterium] rectale[genus],0.900277008,1.119266055,0.314112132,ERR1310109
Butyricicoccus,0.530932595,0.146788991,-1.854784943,ERR1310109
Erysipelatoclostridium,0.530932595,0.95412844,0.845654775,ERR1310109
Anaerostipes,0.39242844,0.403669725,0.04074579,ERR1310109
Parabacteroides,0.369344414,17.66972477,5.580169001,ERR1310109
Lactococcus,0.161588181,0.385321101,1.253739514,ERR1310109
Peptoniphilus,0.115420129,0.110091743,-0.068188581,ERR1310109
Bifidobacterium,35.50323176,0.906697865,-5.291184657,ERR1310110
Blautia,16.64358264,27.99064054,0.749978485,ERR1310110
Ruminococcus,9.072022161,3.758408891,-1.271302133,ERR1310110
Streptococcus,7.779316713,0.438724773,-4.148255365,ERR1310110
Ruminiclostridium,4.224376731,0.745832115,-2.501815676,ERR1310110
Roseburia,3.78578024,0.16086575,-4.556661566,ERR1310110
Lachnoclostridium,2.16989843,8.642878035,1.993884289,ERR1310110
Collinsella,2.031394275,3.422053232,0.752391921,ERR1310110
Eubacterium,1.500461681,0.482597251,-1.636514873,ERR1310110
Bacteroides,1.246537396,19.80111144,3.989583342,ERR1310110
Eggerthella,1.061865189,0.511845569,-1.052820119,ERR1310110
Hespellia,0.992613112,1.403919275,0.500156566,ERR1310110
[Eubacterium] rectale[genus],0.900277008,1.082187774,0.265509967,ERR1310110
Butyricicoccus,0.530932595,0.277859023,-0.934175622,ERR1310110
Erysipelatoclostridium,0.530932595,0.380228137,-0.481663418,ERR1310110
Anaerostipes,0.39242844,0.482597251,0.298390098,ERR1310110
Parabacteroides,0.369344414,13.234864,5.163232802,ERR1310110
Lactococcus,0.161588181,0.49722141,1.621566739,ERR1310110
Bifidobacterium,35.50323176,0.247678019,-7.16334071,ERR1310111
Blautia,16.64358264,23.35913313,0.489020719,ERR1310111
Ruminococcus,9.072022161,1.393188854,-2.703033328,ERR1310111
Ruminiclostridium,4.224376731,0.526315789,-3.004737919,ERR1310111
Roseburia,3.78578024,0.185758514,-4.349090426,ERR1310111
Lachnoclostridium,2.16989843,9.938080495,2.195339713,ERR1310111
Collinsella,2.031394275,0.40247678,-2.335492822,ERR1310111
